Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,Narration,Net Amount
,,,,,,,,,PLAS SPOOL PT-04,PCS,1000.00,19000.00,0.00,0.00,0.00,0.00,428.00,2375.00,0.00,0.00,0.00,0.00,0.00,21803.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,3000.00,106500.00,0.00,0.00,0.00,0.00,2396.00,13313.00,0.00,0.00,0.00,0.00,0.00,122209.00
PB0000091,27-04-2015,Hindalco,RCPT0000000043,DGH/15000174,25-04-2015,DGH/15000174,25-04-2015,INR,COPPER WIRE / ROD,KG,5984.00,2495328.00,0.00,0.00,0.00,0.00,0.00,311916.00,0.00,112290.00,0.00,28072.00,0.00,2947606.00
PB0000092,27-04-2015,Hindalco,RCPT0000000044,DGH/15000171,25-04-2015,DGH/15000171,25-04-2015,INR,COPPER WIRE / ROD,KG,5989.00,2497413.00,0.00,0.00,0.00,0.00,0.00,312177.00,0.00,112384.00,0.00,28096.00,0.00,2950070.00
PB0000093,27-04-2015,Hindalco,RCPT0000000045,DCR15000426,25-04-2015,DCR15000426,26-04-2015,INR,COPPER WIRE / ROD,KG,6034.00,2516178.00,0.00,0.00,0.00,28307.00,0.00,314522.00,0.00,0.00,0.00,0.00,0.00,2859007.00
PB0000094,28-04-2015,AUTO SERVICE EQUIPMENT,,175,25-04-2015,,,INR,COMPRESSOR SPARE PARTS,PCS,1.00,31611.00,0.00,300.00,0.00,0.00,632.00,0.00,0.00,0.00,0.00,0.00,0.00,32543.00
PB0000095,28-04-2015,M.P. SCALE TRADERS,RCPT0000000013,012,27-04-2015,012,27-04-2015,INR,WEIGHING SCALE,PCS,2.00,38000.00,0.00,"1,000.00",0.00,0.00,0.00,0.00,4750.00,0.00,570.00,0.00,0.00,44320.00
PB0000096,28-04-2015,M.P. SCALE TRADERS,RCPT0000000014,013,27-04-2015,013,27-04-2015,INR,WEIGHING SCALE,PCS,1.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,0.00,150.00,0.00,0.00,11400.00
PB0000097,28-04-2015,Hindalco,RCPT0000000046,DGH/15000180,27-04-2015,DGH/15000180,27-04-2015,INR,COPPER WIRE / ROD,KG,6018.00,2509506.00,0.00,0.00,0.00,0.00,0.00,313688.00,0.00,112928.00,0.00,28232.00,0.00,2964354.00
PB0000098,29-04-2015,Hindalco,RCPT0000000019,DCR/15000441,27-04-2015,25-04-2015,28-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,8952.00,3732984.00,0.00,0.00,0.00,41996.00,0.00,466623.00,0.00,0.00,0.00,0.00,0.00,4241603.00
PB0000099,29-04-2015,Hindalco,RCPT0000000020,DCR/15000442,27-04-2015,DCR/15000442,28-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,2990.00,1246830.00,0.00,0.00,0.00,14027.00,0.00,155854.00,0.00,0.00,0.00,0.00,0.00,1416711.00
PB0000100,29-04-2015,Hindalco,RCPT0000000047,DGH/15000195,28-04-2015,DGH/15000195,28-04-2015,INR,COPPER WIRE / ROD,KG,5952.00,2481984.00,0.00,0.00,0.00,0.00,0.00,310248.00,0.00,111689.00,0.00,27922.00,0.00,2931843.00
PB0000101,29-04-2015,Hindalco,RCPT0000000048,DGH/15000198,28-04-2015,DGH/15000198,29-04-2015,INR,COPPER WIRE / ROD,KG,6022.00,2511174.00,0.00,0.00,0.00,0.00,0.00,313897.00,0.00,113003.00,0.00,28251.00,0.00,2966325.00
PB0000102,30-04-2015,R A Nariman & Co. Pvt Ltd,RCPT0000000015,113,29-04-2015,113,29-04-2015,INR,"REDUCER ( MTO, BENZENE )",L,2520.00,166320.00,0.00,0.00,0.00,0.00,3326.00,0.00,0.00,0.00,0.00,0.00,0.00,169646.00
PB0000103,30-04-2015,Hindalco,RCPT0000000049, DGH/15000207,29-04-2015, DGH/15000207,29-04-2015,INR,COPPER WIRE / ROD,KG,5954.00,2482818.00,0.00,0.00,0.00,0.00,0.00,310352.00,0.00,111727.00,0.00,27932.00,0.00,2932829.00
PB0000104,30-04-2015,Hindalco,RCPT0000000050,DGH/15000208,29-04-2015,DGH/15000208,29-04-2015,INR,COPPER WIRE / ROD,KG,5924.00,2470308.00,0.00,0.00,0.00,0.00,0.00,308789.00,0.00,111164.00,0.00,27791.00,0.00,2918052.00
PB0000105,30-04-2015,Hindalco,RCPT0000000021,DCR/15000501,30-04-2015,DCR/15000501,,INR,COPPER WIRE / ROD (CENTRAL),KG,2982.00,1243494.00,0.00,0.00,0.00,13989.00,0.00,155437.00,0.00,0.00,0.00,0.00,0.00,1412920.00
PB0000106,30-04-2015,Hindalco,RCPT0000000022,DCR/15000521,30-04-2015,DCR/15000521,30-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,8995.00,3750915.00,0.00,0.00,0.00,42198.00,0.00,468864.00,0.00,0.00,0.00,0.00,0.00,4261977.00
PB0000107,30-04-2015,Arvind Bearing & Mill Store,RCPT0000000016,240,23-04-2015,240,23-04-2015,INR,BEARING- 6301-2Z,PCS,4.00,324.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,3.00,0.00,340.80
PB0000108,30-04-2015,N.K. Joy & Co.,RCPT0000000017,4,23-04-2015,4,23-04-2015,INR,BEARING- 6205- 2Z,PCS,5.00,1005.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,1025.00
,,,,,,,,,BEARING- 6206 2Z,PCS,5.00,1480.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,1510.00
,,,,,,,,,BEARING- 6307/C3,PCS,12.00,4092.00,0.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,4174.00
PB0000109,30-04-2015,Vikas Spool PVt. Ltd,RCPT0000000074,230,28-04-2015,230,29-04-2015,INR,PLASTIC SPOOL PT-20,PCS,720.00,27900.00,0.00,0.00,0.00,0.00,628.00,3488.00,0.00,0.00,0.00,0.00,0.00,32016.00
PB0000110,30-04-2015,Vikas Spool PVt. Ltd,,,,,,INR,MISC. PLASTIC REELS,PCS,1000.00,42750.00,0.00,0.00,0.00,0.00,962.00,5344.00,0.00,0.00,0.00,0.00,0.00,49056.00
PB0000112,06-05-2015,Hindalco,RCPT0000000051,DGH/15000294,04-05-2015,DGH/15000294,04-05-2015,INR,COPPER WIRE / ROD,KG,5975.00,2515708.02,2987.50,0.00,0.00,0.00,0.00,314464.00,0.00,113207.00,0.00,28302.00,0.00,2968693.52
PB0000113,06-05-2015,Hindalco,RCPT0000000052,DGH/15000295,04-05-2015,DGH/15000295,04-05-2015,INR,COPPER WIRE / ROD,KG,5999.00,2525812.96,2999.50,0.00,0.00,0.00,0.00,315727.00,0.00,113662.00,0.00,28415.00,0.00,2980617.46
PB0000114,06-05-2015,Hindalco,RCPT0000000053,DGH/15000305,05-05-2015,DGH/15000305,05-05-2015,INR,COPPER WIRE / ROD,KG,3003.00,1264380.12,1501.50,0.00,0.00,0.00,0.00,158048.00,0.00,56897.00,0.00,14224.00,0.00,1492047.62
PB0000115,06-05-2015,Hindalco,RCPT0000000054,DGH/15000306,05-05-2015,DGH/15000306,05-05-2015,INR,COPPER WIRE / ROD,KG,2993.00,1260169.73,1496.50,0.00,0.00,0.00,0.00,157521.00,0.00,56708.00,0.00,14177.00,0.00,1487079.23
PB0000116,06-05-2015,Hindalco,RCPT0000000055,DGH/15000307,05-05-2015,DGH/15000307,05-05-2015,INR,COPPER WIRE / ROD,KG,3007.00,1266064.27,1503.50,0.00,0.00,0.00,0.00,158258.00,0.00,56973.00,0.00,14243.00,0.00,1494034.77
PB0000117,06-05-2015,Hindalco,RCPT0000000056,DGH/15000308,05-05-2015,DGH/15000308,05-05-2015,INR,COPPER WIRE / ROD,KG,3018.00,1270695.70,1509.00,0.00,0.00,0.00,0.00,158837.00,0.00,57181.00,0.00,14295.00,0.00,1499499.70
PB0000118,06-05-2015,Hindalco,RCPT0000000023,DCR/15000733,05-05-2015,DCR/15000733,06-05-2015,INR,COPPER WIRE / ROD,KG,8955.00,3770404.24,0.00,0.00,0.00,42417.00,0.00,471301.00,0.00,0.00,0.00,0.00,0.00,4284122.24
PB0000119,06-05-2015,Hindalco,RCPT0000000024,DCR/15000734,05-05-2015,DCR/15000734,05-05-2015,INR,COPPER WIRE / ROD,KG,2980.00,1254696.22,0.00,0.00,0.00,14115.00,0.00,156837.00,0.00,0.00,0.00,0.00,0.00,1425648.22
PB0000120,30-04-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000077,,,,,INR,WOODEN BOX 38*29*27,PCS,10.00,9700.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9950.00
PB0000121,30-04-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000078,12,30-04-2015,12,30-04-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6070.00
PB0000122,30-04-2015,TILES STUDIO,,,,,,INR,MISC. BUILDING MATERIALS,KG,36.00,21474.00,0.00,"1,200.00",0.00,0.00,0.00,0.00,2684.00,0.00,322.00,0.00,0.00,25680.00
PB0000123,30-04-2015,A-One Mineral Water Industry,,42,30-04-2015,,,INR,D M WATER,L,52000.00,9360.00,0.00,0.00,0.00,0.00,0.00,0.00,1170.00,0.00,140.00,0.00,0.00,10670.00
PB0000124,30-04-2015,Iskon Packaging Wood Works,RCPT0000000079,05,11-04-2015,05,30-04-2015,INR,WOODEN GUTKA,PCS,1750.00,12250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,490.00,0.00,123.00,0.00,12863.00
PB0000125,30-04-2015,Savitri Enterprises,,,,,,INR,MISC. BUILDING MATERIALS,KG,1.00,20200.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,808.00,0.00,202.00,0.00,21510.00
PB0000126,30-04-2015,HONDA SIEL POWER PRODUCTS LTD - SUPPLIER,RCPT0000000080,278,30-04-2015,278,30-04-2015,INR,PLAS SPOOL PT- 90,PCS,99.00,28710.00,0.00,0.00,0.00,0.00,0.00,0.00,3589.00,0.00,431.00,0.00,0.00,32730.00
PB0000127,30-04-2015,HONDA SIEL POWER PRODUCTS LTD - SUPPLIER,RCPT0000000075,HO SCRAP LINE-27,29-04-2015,HO SCRAP LINE-27,29-04-2015,INR,PLAS SPOOL PT- 90,PCS,100.00,29000.00,0.00,331.00,0.00,0.00,0.00,0.00,3625.00,0.00,435.00,0.00,0.00,33391.00
PB0000128,08-05-2015,Scientific Agencies Pvt. Ltd,RCPT0000000018,107,29-04-2015,107,01-05-2015,INR,WAX PARAFIN,KG,4.00,3264.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3329.00
PB0000129,07-05-2015,Arvind Bearing & Mill Store,RCPT0000000019,314,01-05-2015,314,01-05-2015,INR,BEARING - 6900ZZ,PCS,6.00,781.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,8.00,0.00,820.20
PB0000130,07-05-2015,NALWA TRADING AGENCIES,,006,02-05-2015,,,INR,MS PIPE FITTINGS,PCS,1.00,3370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3370.00
PB0000131,07-05-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000030,51,02-05-2015,51,03-05-2015,INR,VAR-HIGH SPEED,KGS,4200.00,378000.00,0.00,0.00,0.00,0.00,8505.00,47250.00,0.00,0.00,0.00,0.00,0.00,433755.00
PB0000132,08-05-2015,Fuming Beverages,,MRN-299/04/05/15 ,04-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6080.00
PB0000133,08-05-2015,BANSAL MACHINERY STORE,,MRN 300 BILL NO 82/ ,04-05-2015,,,INR,"ELFY , EPOXY, ARALDITE ETC.",PCS,1.00,1990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,20.00,0.00,2090.00
PB0000134,08-05-2015,BRM ENTERPRISES,RCPT0000000020,1271,02-05-2015,MRN-301,04-05-2015,INR,PHENOPHTHELENE  SOLU. 8.3- 10,ML,6.00,945.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,945.00
PB0000135,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),RCPT0000000021,277,02-05-2015,MRN-302,04-05-2015,INR,OIL SEAL  30X47X7X10,PCS,10.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,0.00,24.00,0.00,2520.00
,,,,,,,,,OIL SEAL  32X52X7X10,PCS,10.00,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,0.00,28.00,0.00,2940.00
,,,,,,,,,OIL SEAL  50X72X7-8 ( MAG ),PCS,10.00,3900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,0.00,39.00,0.00,4095.00
PB0000136,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),,,,,,INR,MISC. OIL SEALS,PCS,48.00,2616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,26.00,0.00,2747.00
PB0000137,09-05-2015,MAHESH PAINTS & HARDWARE STORE,,MRN-307 /04/05/15 BILL ,04-05-2015,,,INR,R&M BUILDING,PC,3.00,510.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,5.00,0.00,685.00
PB0000138,09-05-2015,MEGA CARBON PRODUCTS PVT. LTD.,,MRN-308/04/0515 ,01-05-2015,,,INR,BRUSH,PCS,16.00,8560.00,0.00,300.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8946.00
PB0000139,09-05-2015,S.S.Packaging,RCPT0000000081,107,04-05-2015,MRN-309,04-05-2015,INR,STRECH FILM,KG,122.80,17806.00,0.00,0.00,0.00,0.00,0.00,2226.00,0.00,801.00,0.00,200.00,0.00,21033.00
PB0000140,09-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000082,16,06-05-2015,MRN-325,06-05-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6070.00
PB0000141,11-05-2015,Vikas Spool PVt. Ltd,RCPT0000000083,278,05-05-2015,MRN-328,06-05-2015,INR,PLAS SPOOL PT-10,PCS,3500.00,124250.00,0.00,0.00,0.00,0.00,2796.00,15531.00,0.00,0.00,0.00,0.00,0.00,142577.00
PB0000142,11-05-2015,Shree Shakti International,RCPT0000000084,35,05-05-2015,MRN-333,06-05-2015,INR,BARCODE PAPER LABEL-30X15X1,PCS,50000.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.00,0.00,2625.00
,,,,,,,,,BARCODE PAPER LABEL-30X20X1,PCS,50000.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.00,0.00,2625.00
PB0000143,11-05-2015,GANPATI TRADERS,,,,,,INR,SANITRY ITEMS,PCS,1.00,48084.00,0.00,0.00,0.00,0.00,0.00,0.00,6011.00,0.00,721.00,0.00,0.00,54816.00
PB0000144,11-05-2015,BRM ENTERPRISES,RCPT0000000022,1270,02-05-2015,MRN-335,06-05-2015,INR,SULPHURIC ACID,ML,4.00,1554.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1554.00
PB0000145,11-05-2015,MILHARD SALES PVT. LTD.,,,,,,INR,MICROMETER,PCS,2.00,5325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.00,0.00,53.00,0.00,5591.00
PB0000146,11-05-2015,Bharat Box Company,RCPT0000000085,49,08-05-2015,MRN-355,08-05-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1194.00,29850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1194.00,0.00,299.00,0.00,31343.00
PB0000147,11-05-2015,Bharat Box Company,RCPT0000000086,051,08-05-2015,MRN-358,08-05-2015,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2516.00,27676.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1107.00,0.00,277.00,0.00,29060.00
PB0000148,13-05-2015,Hindalco,RCPT0000000057,DGH/15000358,09-05-2015,MRN-374,09-05-2015,INR,COPPER WIRE / ROD,KG,5994.00,2559438.00,2997.00,0.00,0.00,0.00,0.00,319930.00,0.00,115175.00,0.00,28794.00,0.00,3020340.00
PB0000149,13-05-2015,Hindalco,RCPT0000000058,DGH/15000359,09-05-2015,MRN-376,09-05-2015,INR,COPPER WIRE / ROD,KG,5988.00,2556876.00,2994.00,0.00,0.00,0.00,0.00,319610.00,0.00,115059.00,0.00,28765.00,0.00,3017316.00
PB0000150,13-05-2015,Hindalco,RCPT0000000059,DGH/15000360,09-05-2015,MRN-378,09-05-2015,INR,COPPER WIRE / ROD,KG,5957.00,2543639.00,2978.50,0.00,0.00,0.00,0.00,317955.00,0.00,114464.00,0.00,28616.00,0.00,3001695.50
PB0000152,13-05-2015,Hindalco,RCPT0000000025,DCR/15000808,09-05-2015,MRN-384,10-05-2015,INR,COPPER WIRE / ROD,KG,5977.00,2552179.00,0.00,0.00,0.00,28712.00,0.00,319022.00,0.00,0.00,0.00,0.00,0.00,2899913.00
PB0000153,13-05-2015,Hindalco,RCPT0000000026,DCR/15000798,09-05-2015,MRN-385,10-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,0.00,0.00,28630.00,0.00,318115.00,0.00,0.00,0.00,0.00,0.00,2891665.00
PB0000154,13-05-2015,Hindalco,RCPT0000000061,DGH/15000365,11-05-2015,MRN-398,11-05-2015,INR,COPPER WIRE / ROD,KG,6008.00,2565416.00,3004.00,0.00,0.00,0.00,0.00,320677.00,0.00,115444.00,0.00,28861.00,0.00,3027394.00
PB0000155,13-05-2015,Hindalco,RCPT0000000062,DGH/15000366,11-05-2015,MRN-399,11-05-2015,INR,COPPER WIRE / ROD,KG,6115.00,2611105.00,3057.50,0.00,0.00,0.00,0.00,326388.00,0.00,117500.00,0.00,29375.00,0.00,3081310.50
PB0000156,13-05-2015,Hindalco,RCPT0000000063,DGH/15000370,12-05-2015,MRN-408,12-05-2015,INR,COPPER WIRE / ROD,KG,3803.00,1623881.00,1901.50,0.00,0.00,0.00,0.00,202985.00,0.00,73075.00,0.00,18269.00,0.00,1916308.50
PB0000157,13-05-2015,Hindalco,RCPT0000000064,DGH/15000371,12-05-2015,MRN-409,12-05-2015,INR,COPPER WIRE / ROD,KG,2029.00,866383.00,1014.50,0.00,0.00,0.00,0.00,108298.00,0.00,38987.00,0.00,9747.00,0.00,1022400.50
PB0000158,14-05-2015,Ganesh Electricals,,MRN/293 BILL NO.238,02-05-2015,,,INR,ELECTRICAL-MISC,PCS,30.00,1650.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,17.00,0.00,1833.00
PB0000159,14-05-2015,KHUSI ENTERPRISES,,MRN/314 BILL 109,05-05-2015,,,INR,WRAPPER- MISC.,KG,750.00,1462.50,0.00,0.00,0.00,0.00,0.00,183.00,0.00,66.00,0.00,16.00,0.00,1727.50
PB0000160,14-05-2015,Arvind Bearing & Mill Store,RCPT0000000023,322,05-05-2015,MRN315,05-05-2015,INR,WELDING ROD,PCS,3.00,1350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,14.00,0.00,1418.00
PB0000161,14-05-2015,SHRI BAL JI TIMBER & PLYWOOD,,MRN-326 BILL 6,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,5062.00,0.00,0.00,0.00,0.00,0.00,0.00,633.00,0.00,76.00,0.00,0.00,5771.00
PB0000162,14-05-2015,Savitri Enterprises,,MRN-327 BILL 191,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,34640.00,0.00,300.00,0.00,0.00,0.00,0.00,4330.00,0.00,520.00,0.00,0.00,39790.00
PB0000163,14-05-2015,Bharat Box Company,RCPT0000000087,048,07-05-2015,MRN-339,07-05-2015,INR,WRAPPER-PT-10/15 -  195 X 640 MM,KG,545.00,25070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1003.00,0.00,251.00,0.00,26324.00
PB0000164,14-05-2015,MAHESH PAINTS & HARDWARE STORE,,130/m340,,,,INR,MISC. BUILDING MATERIALS,KG,10.00,1700.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,17.00,0.00,1985.00
PB0000165,14-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-341 BILL224,07-05-2015,,,INR,WHITE WASH & PAINTS & BRUSHES,PCS,1.00,21618.00,0.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22218.00
PB0000166,14-05-2015,Hindalco,RCPT0000000065,DGH/15000335,07-05-2015,MRN-342,07-05-2015,INR,COPPER WIRE / ROD,KG,5980.00,2493660.00,2990.00,0.00,0.00,0.00,0.00,311708.00,0.00,112215.00,0.00,28054.00,0.00,2942647.00
PB0000167,14-05-2015,Hindalco,RCPT0000000066,DGH/15000336,07-05-2015,MRN-343,07-05-2015,INR,COPPER WIRE / ROD,KG,3004.00,1252668.00,1502.00,0.00,0.00,0.00,0.00,156584.00,0.00,56370.00,0.00,14093.00,0.00,1478213.00
PB0000168,14-05-2015,Hindalco,RCPT0000000067,DGH/15000337,07-05-2015,MRN-344,07-05-2015,INR,COPPER WIRE / ROD,KG,2998.00,1250166.00,1499.00,0.00,0.00,0.00,0.00,156271.00,0.00,56257.00,0.00,14064.00,0.00,1475259.00
PB0000169,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000088,57,07-05-2015,MRN-347,07-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,1.00,1650.00,0.00,0.00,0.00,0.00,0.00,206.00,0.00,74.00,0.00,19.00,0.00,1949.00
PB0000170,14-05-2015,Hindalco,RCPT0000000027,DCR/15000767,07-05-2015,MRN-352,08-05-2015,INR,COPPER WIRE / ROD,KG,3030.00,1263510.00,0.00,0.00,0.00,14214.00,0.00,157939.00,0.00,0.00,0.00,0.00,0.00,1435663.00
PB0000171,14-05-2015,Hindalco,RCPT0000000028,DCR/15000768,07-05-2015,MRN-353,08-05-2015,INR,COPPER WIRE / ROD,KG,2994.00,1248498.00,0.00,0.00,0.00,14046.00,0.00,156062.00,0.00,0.00,0.00,0.00,0.00,1418606.00
PB0000172,14-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000089,17,08-05-2015,MRN-354,08-05-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6070.00
PB0000173,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000090,58,08-05-2015,MRN-356,08-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,405.00,10125.00,0.00,0.00,0.00,0.00,0.00,1266.00,0.00,456.00,0.00,114.00,0.00,11961.00
PB0000174,14-05-2015,Hindalco,RCPT0000000029,DCR/15000769,07-05-2015,MRN-357,08-05-2015,INR,COPPER WIRE / ROD,KG,5962.00,2486154.00,0.00,0.00,0.00,27969.00,0.00,310769.00,0.00,0.00,0.00,0.00,0.00,2824892.00
PB0000175,15-05-2015,Hindalco,RCPT0000000068,DGH/15000372,12-05-2015,MRN-410,12-05-2015,INR,COPPER WIRE / ROD,KG,2087.00,891149.00,1043.50,0.00,0.00,0.00,0.00,111394.00,0.00,40102.00,0.00,10025.00,0.00,1051626.50
PB0000176,15-05-2015,Hindalco,RCPT0000000069,DGH/15000373,12-05-2015,MRN-411,12-05-2015,INR,COPPER WIRE / ROD,KG,4020.00,1716540.00,2010.00,0.00,0.00,0.00,0.00,214568.00,0.00,77244.00,0.00,19311.00,0.00,2025653.00
PB0000177,15-05-2015,Hindalco,RCPT0000000070,DGH/15000378,13-05-2015,MRN-418,13-05-2015,INR,COPPER WIRE / ROD,KG,2987.00,1275449.00,1493.50,0.00,0.00,0.00,0.00,159431.00,0.00,57395.00,0.00,14349.00,0.00,1505130.50
PB0000178,15-05-2015,Hindalco,RCPT0000000071,DGH/15000379,13-05-2015,MRN-419,13-05-2015,INR,COPPER WIRE / ROD,KG,3012.00,1286124.00,1506.00,0.00,0.00,0.00,0.00,160766.00,0.00,57876.00,0.00,14469.00,0.00,1517729.00
PB0000179,15-05-2015,Hindalco,RCPT0000000072,DGH/15000377,13-05-2015,MRN-420,13-05-2015,INR,COPPER WIRE / ROD,KG,5935.00,2534245.00,2967.50,0.00,0.00,0.00,0.00,316781.00,0.00,114041.00,0.00,28510.00,0.00,2990609.50
PB0000180,15-05-2015,Hindalco,RCPT0000000073,DGH/15000380,13-05-2015,MRN-421,13-05-2015,INR,COPPER WIRE / ROD,KG,5879.00,2510333.00,2939.50,0.00,0.00,0.00,0.00,313792.00,0.00,112965.00,0.00,28241.00,0.00,2962391.50
PB0000181,15-05-2015,Hindalco,RCPT0000000074,DGH/15000388,14-05-2015,MRN-427,14-05-2015,INR,COPPER WIRE / ROD,KG,6157.00,2629039.00,3078.50,0.00,0.00,0.00,0.00,328630.00,0.00,118307.00,0.00,29577.00,0.00,3102474.50
PB0000182,15-05-2015,Bharat Box Company,RCPT0000000091,057,14-05-2015,MRN-428,14-05-2015,INR,"CORRUGATED BOX PT- 4, 11.50X11.50X8- 5 PLY",PCS,994.00,23607.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,944.00,0.00,236.00,0.00,24787.50
,,,,,,,,,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1404.00,18252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,730.00,0.00,183.00,0.00,19165.00
PB0000183,15-05-2015,Hindalco,RCPT0000000075,DGH/15000389,14-05-2015,MRN-430,14-05-2015,INR,COPPER WIRE / ROD,KG,5946.00,2538942.00,2973.00,0.00,0.00,0.00,0.00,317368.00,0.00,114252.00,0.00,28563.00,0.00,2996152.00
PB0000184,15-05-2015,Hindalco,RCPT0000000030,DCR/15000865,14-05-2015,MRN-435,15-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,0.00,0.00,28630.00,0.00,318115.00,0.00,0.00,0.00,0.00,0.00,2891665.00
PB0000185,15-05-2015,Hindalco,RCPT0000000076,DGH/15000400,15-05-2015,MRN-438,15-05-2015,INR,COPPER WIRE / ROD,KG,5918.00,2526986.00,2959.00,0.00,0.00,0.00,0.00,315873.00,0.00,113714.00,0.00,28429.00,0.00,2982043.00
PB0000186,15-05-2015,Hindalco,RCPT0000000077,DGH/1500399,15-05-2015,MRN-439,15-05-2015,INR,COPPER WIRE / ROD,KG,5929.00,2531683.00,2964.50,0.00,0.00,0.00,0.00,316460.00,0.00,113926.00,0.00,28481.00,0.00,2987585.50
PB0000187,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000024,363,07-05-2015,MRN-351,07-05-2015,INR,BEARING - 3308,PCS,2.00,8716.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.00,0.00,87.00,0.00,9152.40
